Dataset,Species,Condition,Hallmark,Gene,Log2FC,P_Value,Direction
GSE26600,Mouse,MAM Genotoxin Exposure,Altered_Intercellular_Comm,Cxcl2,0.004,0.6989,UP
GSE26600,Mouse,MAM Genotoxin Exposure,Altered_Intercellular_Comm,Il6,0.014,0.203,UP
GSE47516,Mouse,Cstb KO (Epilepsy/Neurodegeneration),Genomic_Instability,Xrcc1,N/A,0.0382,NC
GSE47516,Mouse,Cstb KO (Epilepsy/Neurodegeneration),Genomic_Instability,Atm,N/A,0.9697,NC
GSE47516,Mouse,Cstb KO (Epilepsy/Neurodegeneration),Genomic_Instability,Parp1,6.521,0.2351,UP
GSE47516,Mouse,Cstb KO (Epilepsy/Neurodegeneration),Genomic_Instability,Brca1,N/A,0.0052,NC
GSE47516,Mouse,Cstb KO (Epilepsy/Neurodegeneration),Genomic_Instability,Trp53,N/A,0.7524,NC
GSE47516,Mouse,Cstb KO (Epilepsy/Neurodegeneration),Genomic_Instability,Atr,N/A,0.249,NC
GSE47516,Mouse,Cstb KO (Epilepsy/Neurodegeneration),Telomere_Attrition,Terf1,-2.646,0.7125,DOWN
GSE47516,Mouse,Cstb KO (Epilepsy/Neurodegeneration),Telomere_Attrition,Pot1a,-2.829,0.5604,DOWN
GSE47516,Mouse,Cstb KO (Epilepsy/Neurodegeneration),Telomere_Attrition,Tinf2,N/A,0.0076,NC
GSE47516,Mouse,Cstb KO (Epilepsy/Neurodegeneration),Telomere_Attrition,Tert,0.206,0.9523,UP
GSE47516,Mouse,Cstb KO (Epilepsy/Neurodegeneration),Epigenetic_Alterations,Ezh2,N/A,0.0307,NC
GSE47516,Mouse,Cstb KO (Epilepsy/Neurodegeneration),Epigenetic_Alterations,Dnmt3b,N/A,0.0303,NC
GSE47516,Mouse,Cstb KO (Epilepsy/Neurodegeneration),Epigenetic_Alterations,Sirt1,N/A,0.2377,NC
GSE47516,Mouse,Cstb KO (Epilepsy/Neurodegeneration),Epigenetic_Alterations,Dnmt1,N/A,0.1273,NC
GSE47516,Mouse,Cstb KO (Epilepsy/Neurodegeneration),Epigenetic_Alterations,Kat2a,N/A,0.0788,NC
GSE47516,Mouse,Cstb KO (Epilepsy/Neurodegeneration),Epigenetic_Alterations,Dnmt3a,N/A,0.169,NC
GSE47516,Mouse,Cstb KO (Epilepsy/Neurodegeneration),Epigenetic_Alterations,Hdac1,N/A,0.0295,NC
GSE47516,Mouse,Cstb KO (Epilepsy/Neurodegeneration),Loss_of_Proteostasis,Atg5,N/A,0.4359,NC
GSE47516,Mouse,Cstb KO (Epilepsy/Neurodegeneration),Loss_of_Proteostasis,Psmc1,N/A,0.9236,NC
GSE47516,Mouse,Cstb KO (Epilepsy/Neurodegeneration),Loss_of_Proteostasis,Lamp2,N/A,0.1677,NC
GSE47516,Mouse,Cstb KO (Epilepsy/Neurodegeneration),Loss_of_Proteostasis,Hsp90aa1,4.786,0.4492,UP
GSE47516,Mouse,Cstb KO (Epilepsy/Neurodegeneration),Loss_of_Proteostasis,Ubb,N/A,0.7066,NC
GSE47516,Mouse,Cstb KO (Epilepsy/Neurodegeneration),Loss_of_Proteostasis,Hspa1a,-1.74,0.6641,DOWN
GSE47516,Mouse,Cstb KO (Epilepsy/Neurodegeneration),Nutrient_Sensing,Mtor,-0.64,0.9553,DOWN
GSE47516,Mouse,Cstb KO (Epilepsy/Neurodegeneration),Nutrient_Sensing,Sirt1,N/A,0.2377,NC
GSE47516,Mouse,Cstb KO (Epilepsy/Neurodegeneration),Nutrient_Sensing,Igf1,N/A,0.1427,NC
GSE47516,Mouse,Cstb KO (Epilepsy/Neurodegeneration),Nutrient_Sensing,Igf1r,-7.001,0.6382,DOWN
GSE47516,Mouse,Cstb KO (Epilepsy/Neurodegeneration),Nutrient_Sensing,Prkaa2,N/A,0.0906,NC
GSE47516,Mouse,Cstb KO (Epilepsy/Neurodegeneration),Nutrient_Sensing,Foxo3,N/A,0.0511,NC
GSE47516,Mouse,Cstb KO (Epilepsy/Neurodegeneration),Nutrient_Sensing,Prkaa1,N/A,0.4688,NC
GSE47516,Mouse,Cstb KO (Epilepsy/Neurodegeneration),Mitochondrial_Dysfunction,Sod2,N/A,0.242,NC
GSE47516,Mouse,Cstb KO (Epilepsy/Neurodegeneration),Mitochondrial_Dysfunction,Park2,-3.941,0.6666,DOWN
GSE47516,Mouse,Cstb KO (Epilepsy/Neurodegeneration),Mitochondrial_Dysfunction,Ppargc1a,2.099,0.9316,UP
GSE47516,Mouse,Cstb KO (Epilepsy/Neurodegeneration),Mitochondrial_Dysfunction,Pink1,N/A,0.034,NC
GSE47516,Mouse,Cstb KO (Epilepsy/Neurodegeneration),Mitochondrial_Dysfunction,Tfam,N/A,0.6474,NC
GSE47516,Mouse,Cstb KO (Epilepsy/Neurodegeneration),Cellular_Senescence,Glb1,N/A,0.0535,NC
GSE47516,Mouse,Cstb KO (Epilepsy/Neurodegeneration),Cellular_Senescence,Rb1,N/A,0.8218,NC
GSE47516,Mouse,Cstb KO (Epilepsy/Neurodegeneration),Cellular_Senescence,Serpine1,N/A,0.047,NC
GSE47516,Mouse,Cstb KO (Epilepsy/Neurodegeneration),Cellular_Senescence,Cdkn1a,N/A,0.3694,NC
GSE47516,Mouse,Cstb KO (Epilepsy/Neurodegeneration),Cellular_Senescence,Trp53,N/A,0.7524,NC
GSE47516,Mouse,Cstb KO (Epilepsy/Neurodegeneration),Cellular_Senescence,Cdkn2a,N/A,0.0354,NC
GSE47516,Mouse,Cstb KO (Epilepsy/Neurodegeneration),Stem_Cell_Exhaustion,Sox2,N/A,0.0321,NC
GSE47516,Mouse,Cstb KO (Epilepsy/Neurodegeneration),Stem_Cell_Exhaustion,Klf4,N/A,0.0488,NC
GSE47516,Mouse,Cstb KO (Epilepsy/Neurodegeneration),Stem_Cell_Exhaustion,Bmi1,1.864,0.671,UP
GSE47516,Mouse,Cstb KO (Epilepsy/Neurodegeneration),Stem_Cell_Exhaustion,Pou5f1,-2.116,0.3558,DOWN
GSE47516,Mouse,Cstb KO (Epilepsy/Neurodegeneration),Stem_Cell_Exhaustion,Nanog,N/A,0.2442,NC
GSE47516,Mouse,Cstb KO (Epilepsy/Neurodegeneration),Stem_Cell_Exhaustion,Tert,0.206,0.9523,UP
GSE47516,Mouse,Cstb KO (Epilepsy/Neurodegeneration),Altered_Intercellular_Comm,Tnf,N/A,0.0323,NC
GSE47516,Mouse,Cstb KO (Epilepsy/Neurodegeneration),Altered_Intercellular_Comm,Tgfb1,N/A,0.9433,NC
GSE47516,Mouse,Cstb KO (Epilepsy/Neurodegeneration),Altered_Intercellular_Comm,Nfkb1,N/A,0.5048,NC
GSE47516,Mouse,Cstb KO (Epilepsy/Neurodegeneration),Altered_Intercellular_Comm,Il1b,N/A,0.6125,NC
GSE47516,Mouse,Cstb KO (Epilepsy/Neurodegeneration),Altered_Intercellular_Comm,Cxcl2,N/A,0.9744,NC
GSE47516,Mouse,Cstb KO (Epilepsy/Neurodegeneration),Altered_Intercellular_Comm,Il6,N/A,0.1584,NC
GSE52118,Mouse,ALS Motor Pool Vulnerability,Genomic_Instability,Xrcc1,-0.062,0.7222,DOWN
GSE52118,Mouse,ALS Motor Pool Vulnerability,Genomic_Instability,Atm,0.051,0.8951,UP
GSE52118,Mouse,ALS Motor Pool Vulnerability,Genomic_Instability,Parp1,0.37,0.0127,UP
GSE52118,Mouse,ALS Motor Pool Vulnerability,Genomic_Instability,Brca1,-0.449,0.3028,DOWN
GSE52118,Mouse,ALS Motor Pool Vulnerability,Genomic_Instability,Trp53,-0.054,0.9101,DOWN
GSE52118,Mouse,ALS Motor Pool Vulnerability,Genomic_Instability,Atr,0.289,0.2499,UP
GSE52118,Mouse,ALS Motor Pool Vulnerability,Telomere_Attrition,Terf1,-0.212,0.5792,DOWN
GSE52118,Mouse,ALS Motor Pool Vulnerability,Telomere_Attrition,Pot1a,-0.623,0.0245,DOWN
GSE52118,Mouse,ALS Motor Pool Vulnerability,Telomere_Attrition,Tinf2,1.323,0.0009,UP
GSE52118,Mouse,ALS Motor Pool Vulnerability,Telomere_Attrition,Tert,-1.321,0.1479,DOWN
GSE52118,Mouse,ALS Motor Pool Vulnerability,Epigenetic_Alterations,Ezh2,-0.237,0.5223,DOWN
GSE52118,Mouse,ALS Motor Pool Vulnerability,Epigenetic_Alterations,Dnmt3b,-0.244,0.7289,DOWN
GSE52118,Mouse,ALS Motor Pool Vulnerability,Epigenetic_Alterations,Sirt1,0.051,0.798,UP
GSE52118,Mouse,ALS Motor Pool Vulnerability,Epigenetic_Alterations,Dnmt1,-0.205,0.1355,DOWN
GSE52118,Mouse,ALS Motor Pool Vulnerability,Epigenetic_Alterations,Kat2a,0.291,0.0088,UP
GSE52118,Mouse,ALS Motor Pool Vulnerability,Epigenetic_Alterations,Dnmt3a,-0.627,0.0072,DOWN
GSE52118,Mouse,ALS Motor Pool Vulnerability,Epigenetic_Alterations,Hdac1,0.032,0.9251,UP
GSE52118,Mouse,ALS Motor Pool Vulnerability,Loss_of_Proteostasis,Atg5,0.192,0.4704,UP
GSE52118,Mouse,ALS Motor Pool Vulnerability,Loss_of_Proteostasis,Psmc1,0.208,0.1431,UP
GSE52118,Mouse,ALS Motor Pool Vulnerability,Loss_of_Proteostasis,Lamp2,0.083,0.5792,UP
GSE52118,Mouse,ALS Motor Pool Vulnerability,Loss_of_Proteostasis,Hsp90aa1,0.115,0.082,UP
GSE52118,Mouse,ALS Motor Pool Vulnerability,Loss_of_Proteostasis,Ubb,0.536,0.0041,UP
GSE52118,Mouse,ALS Motor Pool Vulnerability,Loss_of_Proteostasis,Hspa1a,-1.075,0.0262,DOWN
GSE52118,Mouse,ALS Motor Pool Vulnerability,Nutrient_Sensing,Mtor,0.012,0.9419,UP
GSE52118,Mouse,ALS Motor Pool Vulnerability,Nutrient_Sensing,Sirt1,0.051,0.798,UP
GSE52118,Mouse,ALS Motor Pool Vulnerability,Nutrient_Sensing,Igf1,-2.531,0.0003,DOWN
GSE52118,Mouse,ALS Motor Pool Vulnerability,Nutrient_Sensing,Igf1r,-0.316,0.3655,DOWN
GSE52118,Mouse,ALS Motor Pool Vulnerability,Nutrient_Sensing,Prkaa2,-0.767,0.0188,DOWN
GSE52118,Mouse,ALS Motor Pool Vulnerability,Nutrient_Sensing,Foxo3,-0.621,0.0127,DOWN
GSE52118,Mouse,ALS Motor Pool Vulnerability,Nutrient_Sensing,Prkaa1,-0.272,0.4985,DOWN
GSE52118,Mouse,ALS Motor Pool Vulnerability,Mitochondrial_Dysfunction,Sod2,0.074,0.2485,UP
GSE52118,Mouse,ALS Motor Pool Vulnerability,Mitochondrial_Dysfunction,Park2,0.333,0.1139,UP
GSE52118,Mouse,ALS Motor Pool Vulnerability,Mitochondrial_Dysfunction,Ppargc1a,-1.815,0.0,DOWN
GSE52118,Mouse,ALS Motor Pool Vulnerability,Mitochondrial_Dysfunction,Pink1,-0.2,0.0007,DOWN
GSE52118,Mouse,ALS Motor Pool Vulnerability,Mitochondrial_Dysfunction,Tfam,-0.225,0.3669,DOWN
GSE52118,Mouse,ALS Motor Pool Vulnerability,Cellular_Senescence,Glb1,0.249,0.3339,UP
GSE52118,Mouse,ALS Motor Pool Vulnerability,Cellular_Senescence,Rb1,-0.515,0.1653,DOWN
GSE52118,Mouse,ALS Motor Pool Vulnerability,Cellular_Senescence,Serpine1,-0.949,0.3816,DOWN
GSE52118,Mouse,ALS Motor Pool Vulnerability,Cellular_Senescence,Cdkn1a,-1.58,0.0021,DOWN
GSE52118,Mouse,ALS Motor Pool Vulnerability,Cellular_Senescence,Trp53,-0.054,0.9101,DOWN
GSE52118,Mouse,ALS Motor Pool Vulnerability,Cellular_Senescence,Cdkn2a,-0.065,0.9621,DOWN
GSE52118,Mouse,ALS Motor Pool Vulnerability,Stem_Cell_Exhaustion,Sox2,-0.599,0.1311,DOWN
GSE52118,Mouse,ALS Motor Pool Vulnerability,Stem_Cell_Exhaustion,Klf4,0.488,0.1039,UP
GSE52118,Mouse,ALS Motor Pool Vulnerability,Stem_Cell_Exhaustion,Bmi1,-0.596,0.0972,DOWN
GSE52118,Mouse,ALS Motor Pool Vulnerability,Stem_Cell_Exhaustion,Pou5f1,0.042,0.9255,UP
GSE52118,Mouse,ALS Motor Pool Vulnerability,Stem_Cell_Exhaustion,Nanog,-1.7,0.1862,DOWN
GSE52118,Mouse,ALS Motor Pool Vulnerability,Stem_Cell_Exhaustion,Tert,-1.321,0.1479,DOWN
GSE52118,Mouse,ALS Motor Pool Vulnerability,Altered_Intercellular_Comm,Tnf,0.725,0.3574,UP
GSE52118,Mouse,ALS Motor Pool Vulnerability,Altered_Intercellular_Comm,Tgfb1,-0.343,0.5839,DOWN
GSE52118,Mouse,ALS Motor Pool Vulnerability,Altered_Intercellular_Comm,Nfkb1,0.072,0.8502,UP
GSE52118,Mouse,ALS Motor Pool Vulnerability,Altered_Intercellular_Comm,Il1b,-1.052,0.2687,DOWN
GSE52118,Mouse,ALS Motor Pool Vulnerability,Altered_Intercellular_Comm,Cxcl2,-0.893,0.4815,DOWN
GSE52118,Mouse,ALS Motor Pool Vulnerability,Altered_Intercellular_Comm,Il6,-1.026,0.5286,DOWN
GSE5786,Mouse,PGC-1α KO (Huntington's model),Genomic_Instability,Xrcc1,-0.019,0.7966,DOWN
GSE5786,Mouse,PGC-1α KO (Huntington's model),Genomic_Instability,Atm,-0.445,0.0197,DOWN
GSE5786,Mouse,PGC-1α KO (Huntington's model),Genomic_Instability,Parp1,0.006,0.936,UP
GSE5786,Mouse,PGC-1α KO (Huntington's model),Genomic_Instability,Brca1,-0.023,0.9087,DOWN
GSE5786,Mouse,PGC-1α KO (Huntington's model),Genomic_Instability,Trp53,-0.07,0.4071,DOWN
GSE5786,Mouse,PGC-1α KO (Huntington's model),Genomic_Instability,Atr,-0.247,0.0095,DOWN
GSE5786,Mouse,PGC-1α KO (Huntington's model),Telomere_Attrition,Terf1,0.05,0.8507,UP
GSE5786,Mouse,PGC-1α KO (Huntington's model),Telomere_Attrition,Pot1a,0.013,0.9139,UP
GSE5786,Mouse,PGC-1α KO (Huntington's model),Telomere_Attrition,Tinf2,-0.0,0.9982,DOWN
GSE5786,Mouse,PGC-1α KO (Huntington's model),Telomere_Attrition,Tert,-0.22,0.7675,DOWN
GSE5786,Mouse,PGC-1α KO (Huntington's model),Epigenetic_Alterations,Ezh2,-0.059,0.7475,DOWN
GSE5786,Mouse,PGC-1α KO (Huntington's model),Epigenetic_Alterations,Dnmt3b,0.784,0.0246,UP
GSE5786,Mouse,PGC-1α KO (Huntington's model),Epigenetic_Alterations,Sirt1,0.024,0.8234,UP
GSE5786,Mouse,PGC-1α KO (Huntington's model),Epigenetic_Alterations,Dnmt1,0.113,0.4032,UP
GSE5786,Mouse,PGC-1α KO (Huntington's model),Epigenetic_Alterations,Kat2a,-0.031,0.6259,DOWN
GSE5786,Mouse,PGC-1α KO (Huntington's model),Epigenetic_Alterations,Dnmt3a,0.004,0.9533,UP
GSE5786,Mouse,PGC-1α KO (Huntington's model),Epigenetic_Alterations,Hdac1,-0.111,0.2314,DOWN
GSE5786,Mouse,PGC-1α KO (Huntington's model),Loss_of_Proteostasis,Atg5,0.136,0.334,UP
GSE5786,Mouse,PGC-1α KO (Huntington's model),Loss_of_Proteostasis,Psmc1,-0.043,0.1142,DOWN
GSE5786,Mouse,PGC-1α KO (Huntington's model),Loss_of_Proteostasis,Lamp2,0.183,0.0241,UP
GSE5786,Mouse,PGC-1α KO (Huntington's model),Loss_of_Proteostasis,Hsp90aa1,0.053,0.2446,UP
GSE5786,Mouse,PGC-1α KO (Huntington's model),Loss_of_Proteostasis,Ubb,-0.091,0.412,DOWN
GSE5786,Mouse,PGC-1α KO (Huntington's model),Loss_of_Proteostasis,Hspa1a,0.407,0.0983,UP
GSE5786,Mouse,PGC-1α KO (Huntington's model),Nutrient_Sensing,Mtor,-0.355,0.1068,DOWN
GSE5786,Mouse,PGC-1α KO (Huntington's model),Nutrient_Sensing,Sirt1,0.024,0.8234,UP
GSE5786,Mouse,PGC-1α KO (Huntington's model),Nutrient_Sensing,Igf1,0.3,0.2796,UP
GSE5786,Mouse,PGC-1α KO (Huntington's model),Nutrient_Sensing,Igf1r,-0.06,0.4839,DOWN
GSE5786,Mouse,PGC-1α KO (Huntington's model),Nutrient_Sensing,Prkaa2,-0.148,0.2079,DOWN
GSE5786,Mouse,PGC-1α KO (Huntington's model),Nutrient_Sensing,Foxo3,0.205,0.0084,UP
GSE5786,Mouse,PGC-1α KO (Huntington's model),Nutrient_Sensing,Prkaa1,0.003,0.984,UP
GSE5786,Mouse,PGC-1α KO (Huntington's model),Mitochondrial_Dysfunction,Sod2,-0.323,0.0015,DOWN
GSE5786,Mouse,PGC-1α KO (Huntington's model),Mitochondrial_Dysfunction,Park2,-0.011,0.9755,DOWN
GSE5786,Mouse,PGC-1α KO (Huntington's model),Mitochondrial_Dysfunction,Ppargc1a,-1.58,0.0004,DOWN
GSE5786,Mouse,PGC-1α KO (Huntington's model),Mitochondrial_Dysfunction,Pink1,0.238,0.1573,UP
GSE5786,Mouse,PGC-1α KO (Huntington's model),Mitochondrial_Dysfunction,Tfam,-0.023,0.7709,DOWN
GSE5786,Mouse,PGC-1α KO (Huntington's model),Cellular_Senescence,Glb1,0.047,0.7639,UP
GSE5786,Mouse,PGC-1α KO (Huntington's model),Cellular_Senescence,Rb1,0.102,0.3782,UP
GSE5786,Mouse,PGC-1α KO (Huntington's model),Cellular_Senescence,Serpine1,-0.374,0.5665,DOWN
GSE5786,Mouse,PGC-1α KO (Huntington's model),Cellular_Senescence,Cdkn1a,0.64,0.1629,UP
GSE5786,Mouse,PGC-1α KO (Huntington's model),Cellular_Senescence,Trp53,-0.07,0.4071,DOWN
GSE5786,Mouse,PGC-1α KO (Huntington's model),Cellular_Senescence,Cdkn2a,0.193,0.7062,UP
GSE5786,Mouse,PGC-1α KO (Huntington's model),Stem_Cell_Exhaustion,Sox2,-0.0,0.9994,DOWN
GSE5786,Mouse,PGC-1α KO (Huntington's model),Stem_Cell_Exhaustion,Klf4,-0.099,0.3793,DOWN
GSE5786,Mouse,PGC-1α KO (Huntington's model),Stem_Cell_Exhaustion,Bmi1,0.141,0.0195,UP
GSE5786,Mouse,PGC-1α KO (Huntington's model),Stem_Cell_Exhaustion,Pou5f1,-0.331,0.7012,DOWN
GSE5786,Mouse,PGC-1α KO (Huntington's model),Stem_Cell_Exhaustion,Nanog,1.325,0.3279,UP
GSE5786,Mouse,PGC-1α KO (Huntington's model),Stem_Cell_Exhaustion,Tert,-0.22,0.7675,DOWN
GSE5786,Mouse,PGC-1α KO (Huntington's model),Altered_Intercellular_Comm,Tnf,0.118,0.7945,UP
GSE5786,Mouse,PGC-1α KO (Huntington's model),Altered_Intercellular_Comm,Tgfb1,-0.177,0.5451,DOWN
GSE5786,Mouse,PGC-1α KO (Huntington's model),Altered_Intercellular_Comm,Nfkb1,-0.15,0.6067,DOWN
GSE5786,Mouse,PGC-1α KO (Huntington's model),Altered_Intercellular_Comm,Il1b,-0.285,0.6772,DOWN
GSE5786,Mouse,PGC-1α KO (Huntington's model),Altered_Intercellular_Comm,Cxcl2,0.037,0.9725,UP
GSE5786,Mouse,PGC-1α KO (Huntington's model),Altered_Intercellular_Comm,Il6,2.098,0.3667,UP
GSE63012,Mouse,IκBα KO (Neuroinflammation),Genomic_Instability,Xrcc1,-0.016,0.0433,DOWN
GSE63012,Mouse,IκBα KO (Neuroinflammation),Genomic_Instability,Atm,-0.002,0.825,DOWN
GSE63012,Mouse,IκBα KO (Neuroinflammation),Genomic_Instability,Parp1,-0.015,0.2716,DOWN
GSE63012,Mouse,IκBα KO (Neuroinflammation),Genomic_Instability,Brca1,-0.009,0.6492,DOWN
GSE63012,Mouse,IκBα KO (Neuroinflammation),Genomic_Instability,Trp53,0.026,0.2667,UP
GSE63012,Mouse,IκBα KO (Neuroinflammation),Genomic_Instability,Atr,0.02,0.2834,UP
GSE63012,Mouse,IκBα KO (Neuroinflammation),Telomere_Attrition,Terf1,0.016,0.3847,UP
GSE63012,Mouse,IκBα KO (Neuroinflammation),Telomere_Attrition,Pot1a,-0.013,0.433,DOWN
GSE63012,Mouse,IκBα KO (Neuroinflammation),Telomere_Attrition,Tinf2,-0.0,0.9842,DOWN
GSE63012,Mouse,IκBα KO (Neuroinflammation),Telomere_Attrition,Tert,0.018,0.607,UP
GSE63012,Mouse,IκBα KO (Neuroinflammation),Epigenetic_Alterations,Ezh2,0.018,0.4403,UP
GSE63012,Mouse,IκBα KO (Neuroinflammation),Epigenetic_Alterations,Dnmt3b,-0.008,0.7503,DOWN
GSE63012,Mouse,IκBα KO (Neuroinflammation),Epigenetic_Alterations,Sirt1,0.014,0.1968,UP
GSE63012,Mouse,IκBα KO (Neuroinflammation),Epigenetic_Alterations,Dnmt1,0.002,0.9059,UP
GSE63012,Mouse,IκBα KO (Neuroinflammation),Epigenetic_Alterations,Kat2a,-0.028,0.2723,DOWN
GSE63012,Mouse,IκBα KO (Neuroinflammation),Epigenetic_Alterations,Dnmt3a,0.01,0.3546,UP
GSE63012,Mouse,IκBα KO (Neuroinflammation),Epigenetic_Alterations,Hdac1,0.012,0.3851,UP
GSE63012,Mouse,IκBα KO (Neuroinflammation),Loss_of_Proteostasis,Atg5,-0.012,0.1788,DOWN
GSE63012,Mouse,IκBα KO (Neuroinflammation),Loss_of_Proteostasis,Psmc1,-0.018,0.2917,DOWN
GSE63012,Mouse,IκBα KO (Neuroinflammation),Loss_of_Proteostasis,Lamp2,0.025,0.0774,UP
GSE63012,Mouse,IκBα KO (Neuroinflammation),Loss_of_Proteostasis,Hsp90aa1,-0.005,0.5177,DOWN
GSE63012,Mouse,IκBα KO (Neuroinflammation),Loss_of_Proteostasis,Ubb,-0.003,0.1483,DOWN
GSE63012,Mouse,IκBα KO (Neuroinflammation),Loss_of_Proteostasis,Hspa1a,-0.051,0.1874,DOWN
GSE63012,Mouse,IκBα KO (Neuroinflammation),Nutrient_Sensing,Mtor,0.017,0.349,UP
GSE63012,Mouse,IκBα KO (Neuroinflammation),Nutrient_Sensing,Sirt1,0.014,0.1968,UP
GSE63012,Mouse,IκBα KO (Neuroinflammation),Nutrient_Sensing,Igf1,0.012,0.4285,UP
GSE63012,Mouse,IκBα KO (Neuroinflammation),Nutrient_Sensing,Igf1r,-0.011,0.3814,DOWN
GSE63012,Mouse,IκBα KO (Neuroinflammation),Nutrient_Sensing,Prkaa2,0.02,0.3807,UP
GSE63012,Mouse,IκBα KO (Neuroinflammation),Nutrient_Sensing,Foxo3,0.006,0.6395,UP
GSE63012,Mouse,IκBα KO (Neuroinflammation),Nutrient_Sensing,Prkaa1,0.011,0.4734,UP
GSE63012,Mouse,IκBα KO (Neuroinflammation),Mitochondrial_Dysfunction,Sod2,-0.005,0.4204,DOWN
GSE63012,Mouse,IκBα KO (Neuroinflammation),Mitochondrial_Dysfunction,Park2,-0.017,0.2729,DOWN
GSE63012,Mouse,IκBα KO (Neuroinflammation),Mitochondrial_Dysfunction,Ppargc1a,0.009,0.1588,UP
GSE63012,Mouse,IκBα KO (Neuroinflammation),Mitochondrial_Dysfunction,Pink1,-0.0,0.9785,DOWN
GSE63012,Mouse,IκBα KO (Neuroinflammation),Mitochondrial_Dysfunction,Tfam,0.01,0.0641,UP
GSE63012,Mouse,IκBα KO (Neuroinflammation),Cellular_Senescence,Glb1,0.01,0.4903,UP
GSE63012,Mouse,IκBα KO (Neuroinflammation),Cellular_Senescence,Rb1,0.012,0.5332,UP
GSE63012,Mouse,IκBα KO (Neuroinflammation),Cellular_Senescence,Serpine1,0.042,0.5486,UP
GSE63012,Mouse,IκBα KO (Neuroinflammation),Cellular_Senescence,Cdkn1a,-0.016,0.6446,DOWN
GSE63012,Mouse,IκBα KO (Neuroinflammation),Cellular_Senescence,Trp53,0.026,0.2667,UP
GSE63012,Mouse,IκBα KO (Neuroinflammation),Cellular_Senescence,Cdkn2a,-0.024,0.6819,DOWN
GSE63012,Mouse,IκBα KO (Neuroinflammation),Stem_Cell_Exhaustion,Sox2,0.048,0.0477,UP
GSE63012,Mouse,IκBα KO (Neuroinflammation),Stem_Cell_Exhaustion,Klf4,-0.071,0.0445,DOWN
GSE63012,Mouse,IκBα KO (Neuroinflammation),Stem_Cell_Exhaustion,Bmi1,0.009,0.3548,UP
GSE63012,Mouse,IκBα KO (Neuroinflammation),Stem_Cell_Exhaustion,Pou5f1,-0.02,0.5057,DOWN
GSE63012,Mouse,IκBα KO (Neuroinflammation),Stem_Cell_Exhaustion,Nanog,-0.055,0.1521,DOWN
GSE63012,Mouse,IκBα KO (Neuroinflammation),Stem_Cell_Exhaustion,Tert,0.018,0.607,UP
GSE63012,Mouse,IκBα KO (Neuroinflammation),Altered_Intercellular_Comm,Tnf,-0.031,0.4683,DOWN
GSE63012,Mouse,IκBα KO (Neuroinflammation),Altered_Intercellular_Comm,Tgfb1,0.044,0.3085,UP
GSE63012,Mouse,IκBα KO (Neuroinflammation),Altered_Intercellular_Comm,Nfkb1,0.01,0.2055,UP
GSE63012,Mouse,IκBα KO (Neuroinflammation),Altered_Intercellular_Comm,Il1b,0.019,0.1981,UP
GSE63012,Mouse,IκBα KO (Neuroinflammation),Altered_Intercellular_Comm,Cxcl2,-0.017,0.76,DOWN
GSE63012,Mouse,IκBα KO (Neuroinflammation),Altered_Intercellular_Comm,Il6,0.043,0.318,UP
GSE31458,Mouse,MPTP (Parkinson's model),Genomic_Instability,Xrcc1,0.013,0.1897,UP
GSE31458,Mouse,MPTP (Parkinson's model),Genomic_Instability,Atm,-0.035,0.5437,DOWN
GSE31458,Mouse,MPTP (Parkinson's model),Genomic_Instability,Parp1,0.009,0.2406,UP
GSE31458,Mouse,MPTP (Parkinson's model),Genomic_Instability,Brca1,-0.017,0.2099,DOWN
GSE31458,Mouse,MPTP (Parkinson's model),Genomic_Instability,Trp53,0.069,0.0003,UP
GSE31458,Mouse,MPTP (Parkinson's model),Genomic_Instability,Atr,0.054,0.0355,UP
GSE31458,Mouse,MPTP (Parkinson's model),Telomere_Attrition,Terf1,0.005,0.7439,UP
GSE31458,Mouse,MPTP (Parkinson's model),Telomere_Attrition,Pot1a,-0.009,0.5179,DOWN
GSE31458,Mouse,MPTP (Parkinson's model),Telomere_Attrition,Tert,-0.022,0.141,DOWN
GSE31458,Mouse,MPTP (Parkinson's model),Telomere_Attrition,Tinf2,-0.022,0.0555,DOWN
GSE31458,Mouse,MPTP (Parkinson's model),Epigenetic_Alterations,Ezh2,0.071,0.0452,UP
GSE31458,Mouse,MPTP (Parkinson's model),Epigenetic_Alterations,Dnmt3b,0.015,0.0456,UP
GSE31458,Mouse,MPTP (Parkinson's model),Epigenetic_Alterations,Sirt1,0.015,0.2155,UP
GSE31458,Mouse,MPTP (Parkinson's model),Epigenetic_Alterations,Dnmt1,0.004,0.7788,UP
GSE31458,Mouse,MPTP (Parkinson's model),Epigenetic_Alterations,Kat2a,0.028,0.0005,UP
GSE31458,Mouse,MPTP (Parkinson's model),Epigenetic_Alterations,Dnmt3a,0.033,0.018,UP
GSE31458,Mouse,MPTP (Parkinson's model),Epigenetic_Alterations,Hdac1,0.011,0.3001,UP
GSE31458,Mouse,MPTP (Parkinson's model),Loss_of_Proteostasis,Atg5,-0.021,0.0372,DOWN
GSE31458,Mouse,MPTP (Parkinson's model),Loss_of_Proteostasis,Psmc1,-0.018,0.0054,DOWN
GSE31458,Mouse,MPTP (Parkinson's model),Loss_of_Proteostasis,Lamp2,-0.004,0.6678,DOWN
GSE31458,Mouse,MPTP (Parkinson's model),Loss_of_Proteostasis,Hsp90aa1,0.013,0.4327,UP
