Dataset,Species,Condition,Pathway,Gene,Log2FC,P_Value,Direction
GSE52118,Mouse,ALS Motor Pool Vulnerability,Autophagy_Proteostasis,Atg7,0.127,0.6948,UP
GSE52118,Mouse,ALS Motor Pool Vulnerability,Autophagy_Proteostasis,Becn1,0.101,0.2414,UP
GSE52118,Mouse,ALS Motor Pool Vulnerability,Autophagy_Proteostasis,Sqstm1,0.772,0.0005,UP
GSE52118,Mouse,ALS Motor Pool Vulnerability,PI3K_AKT_mTOR,Akt1,-0.171,0.513,DOWN
GSE52118,Mouse,ALS Motor Pool Vulnerability,PI3K_AKT_mTOR,Mtor,0.012,0.9419,UP
GSE52118,Mouse,ALS Motor Pool Vulnerability,PI3K_AKT_mTOR,Tsc1,-0.67,0.0504,DOWN
GSE52118,Mouse,ALS Motor Pool Vulnerability,PI3K_AKT_mTOR,Pten,-0.474,0.0045,DOWN
GSE52118,Mouse,ALS Motor Pool Vulnerability,PI3K_AKT_mTOR,Pik3ca,-0.297,0.1601,DOWN
GSE52118,Mouse,ALS Motor Pool Vulnerability,PI3K_AKT_mTOR,Rictor,-0.102,0.7157,DOWN
GSE52118,Mouse,ALS Motor Pool Vulnerability,PI3K_AKT_mTOR,Rps6kb1,0.139,0.3219,UP
GSE52118,Mouse,ALS Motor Pool Vulnerability,PI3K_AKT_mTOR,Rptor,0.016,0.9319,UP
GSE52118,Mouse,ALS Motor Pool Vulnerability,PI3K_AKT_mTOR,Tsc2,-0.146,0.7051,DOWN
GSE5786,Mouse,PGC-1α KO (Huntington's model),Hippo_Signaling,Sav1,0.03,0.8137,UP
GSE5786,Mouse,PGC-1α KO (Huntington's model),Hippo_Signaling,Yap1,0.102,0.6478,UP
GSE5786,Mouse,PGC-1α KO (Huntington's model),Hippo_Signaling,Wwtr1,0.062,0.6539,UP
GSE5786,Mouse,PGC-1α KO (Huntington's model),Hippo_Signaling,Stk3,-0.329,0.046,DOWN
GSE5786,Mouse,PGC-1α KO (Huntington's model),Hippo_Signaling,Lats2,0.072,0.705,UP
GSE5786,Mouse,PGC-1α KO (Huntington's model),Hippo_Signaling,Stk4,0.266,0.0122,UP
GSE5786,Mouse,PGC-1α KO (Huntington's model),Hippo_Signaling,Nf2,-0.086,0.488,DOWN
GSE5786,Mouse,PGC-1α KO (Huntington's model),Hippo_Signaling,Mob1a,0.135,0.1829,UP
GSE5786,Mouse,PGC-1α KO (Huntington's model),Hippo_Signaling,Amot,0.141,0.1571,UP
GSE5786,Mouse,PGC-1α KO (Huntington's model),Hippo_Signaling,Lats1,0.055,0.1427,UP
GSE5786,Mouse,PGC-1α KO (Huntington's model),Hippo_Signaling,Mob1b,-0.149,0.2455,DOWN
GSE5786,Mouse,PGC-1α KO (Huntington's model),Memory_Synaptic,Prkcz,-0.061,0.6098,DOWN
GSE5786,Mouse,PGC-1α KO (Huntington's model),Memory_Synaptic,Arc,-0.286,0.1588,DOWN
GSE5786,Mouse,PGC-1α KO (Huntington's model),Memory_Synaptic,Dlg4,0.136,0.1707,UP
GSE5786,Mouse,PGC-1α KO (Huntington's model),Memory_Synaptic,Creb1,0.116,0.0887,UP
GSE5786,Mouse,PGC-1α KO (Huntington's model),Memory_Synaptic,Bdnf,0.37,0.6262,UP
GSE5786,Mouse,PGC-1α KO (Huntington's model),Memory_Synaptic,Grin2b,0.044,0.7186,UP
GSE5786,Mouse,PGC-1α KO (Huntington's model),Memory_Synaptic,Camk2a,0.127,0.2325,UP
GSE5786,Mouse,PGC-1α KO (Huntington's model),Memory_Synaptic,Grin1,0.222,0.0388,UP
GSE5786,Mouse,PGC-1α KO (Huntington's model),Memory_Synaptic,Syp,-0.036,0.7938,DOWN
GSE5786,Mouse,PGC-1α KO (Huntington's model),Autophagy_Proteostasis,Atg5,0.136,0.334,UP
GSE5786,Mouse,PGC-1α KO (Huntington's model),Autophagy_Proteostasis,Map1lc3b,0.052,0.1289,UP
GSE5786,Mouse,PGC-1α KO (Huntington's model),Autophagy_Proteostasis,Hspa5,0.261,0.0466,UP
GSE5786,Mouse,PGC-1α KO (Huntington's model),Autophagy_Proteostasis,Lamp2,0.183,0.0241,UP
GSE5786,Mouse,PGC-1α KO (Huntington's model),Autophagy_Proteostasis,Tfeb,0.001,0.998,UP
GSE5786,Mouse,PGC-1α KO (Huntington's model),Autophagy_Proteostasis,Hsp90aa1,0.053,0.2446,UP
GSE5786,Mouse,PGC-1α KO (Huntington's model),Autophagy_Proteostasis,Atg7,-0.047,0.7005,DOWN
GSE5786,Mouse,PGC-1α KO (Huntington's model),Autophagy_Proteostasis,Becn1,0.049,0.2868,UP
GSE5786,Mouse,PGC-1α KO (Huntington's model),Autophagy_Proteostasis,Sqstm1,0.052,0.4037,UP
GSE5786,Mouse,PGC-1α KO (Huntington's model),PI3K_AKT_mTOR,Akt1,-0.061,0.5865,DOWN
GSE5786,Mouse,PGC-1α KO (Huntington's model),PI3K_AKT_mTOR,Mtor,-0.355,0.1068,DOWN
GSE5786,Mouse,PGC-1α KO (Huntington's model),PI3K_AKT_mTOR,Tsc1,0.112,0.1496,UP
GSE5786,Mouse,PGC-1α KO (Huntington's model),PI3K_AKT_mTOR,Pten,0.061,0.0995,UP
GSE5786,Mouse,PGC-1α KO (Huntington's model),PI3K_AKT_mTOR,Pik3ca,-0.02,0.804,DOWN
GSE5786,Mouse,PGC-1α KO (Huntington's model),PI3K_AKT_mTOR,Rictor,0.061,0.0295,UP
GSE5786,Mouse,PGC-1α KO (Huntington's model),PI3K_AKT_mTOR,Rps6kb1,-0.058,0.6236,DOWN
GSE5786,Mouse,PGC-1α KO (Huntington's model),PI3K_AKT_mTOR,Rptor,0.021,0.3232,UP
GSE5786,Mouse,PGC-1α KO (Huntington's model),PI3K_AKT_mTOR,Tsc2,-0.044,0.6881,DOWN
GSE63012,Mouse,IκBα KO (Neuroinflammation),Hippo_Signaling,Sav1,0.01,0.3004,UP
GSE63012,Mouse,IκBα KO (Neuroinflammation),Hippo_Signaling,Yap1,0.016,0.4888,UP
GSE63012,Mouse,IκBα KO (Neuroinflammation),Hippo_Signaling,Wwtr1,-0.006,0.5252,DOWN
GSE63012,Mouse,IκBα KO (Neuroinflammation),Hippo_Signaling,Stk3,-0.016,0.6272,DOWN
GSE63012,Mouse,IκBα KO (Neuroinflammation),Hippo_Signaling,Lats2,-0.01,0.1158,DOWN
GSE63012,Mouse,IκBα KO (Neuroinflammation),Hippo_Signaling,Stk4,-0.002,0.7345,DOWN
GSE63012,Mouse,IκBα KO (Neuroinflammation),Hippo_Signaling,Nf2,-0.022,0.387,DOWN
GSE63012,Mouse,IκBα KO (Neuroinflammation),Hippo_Signaling,Mob1a,-0.012,0.4342,DOWN
GSE63012,Mouse,IκBα KO (Neuroinflammation),Hippo_Signaling,Amot,0.007,0.6124,UP
GSE63012,Mouse,IκBα KO (Neuroinflammation),Hippo_Signaling,Lats1,-0.008,0.774,DOWN
GSE63012,Mouse,IκBα KO (Neuroinflammation),Hippo_Signaling,Mob1b,0.028,0.0572,UP
GSE63012,Mouse,IκBα KO (Neuroinflammation),Memory_Synaptic,Prkcz,-0.008,0.2461,DOWN
GSE63012,Mouse,IκBα KO (Neuroinflammation),Memory_Synaptic,Arc,-0.073,0.0766,DOWN
GSE63012,Mouse,IκBα KO (Neuroinflammation),Memory_Synaptic,Dlg4,-0.014,0.4276,DOWN
GSE63012,Mouse,IκBα KO (Neuroinflammation),Memory_Synaptic,Creb1,-0.011,0.4915,DOWN
GSE63012,Mouse,IκBα KO (Neuroinflammation),Memory_Synaptic,Bdnf,-0.046,0.1657,DOWN
GSE63012,Mouse,IκBα KO (Neuroinflammation),Memory_Synaptic,Grin2b,-0.012,0.5342,DOWN
GSE63012,Mouse,IκBα KO (Neuroinflammation),Memory_Synaptic,Camk2a,-0.024,0.3288,DOWN
GSE63012,Mouse,IκBα KO (Neuroinflammation),Memory_Synaptic,Grin1,-0.021,0.2851,DOWN
GSE63012,Mouse,IκBα KO (Neuroinflammation),Memory_Synaptic,Syp,-0.007,0.5571,DOWN
GSE63012,Mouse,IκBα KO (Neuroinflammation),Autophagy_Proteostasis,Atg5,-0.012,0.1788,DOWN
GSE63012,Mouse,IκBα KO (Neuroinflammation),Autophagy_Proteostasis,Map1lc3b,-0.015,0.1733,DOWN
GSE63012,Mouse,IκBα KO (Neuroinflammation),Autophagy_Proteostasis,Hspa5,-0.006,0.5667,DOWN
GSE63012,Mouse,IκBα KO (Neuroinflammation),Autophagy_Proteostasis,Lamp2,0.025,0.0774,UP
GSE63012,Mouse,IκBα KO (Neuroinflammation),Autophagy_Proteostasis,Tfeb,-0.005,0.6814,DOWN
GSE63012,Mouse,IκBα KO (Neuroinflammation),Autophagy_Proteostasis,Hsp90aa1,-0.005,0.5177,DOWN
GSE63012,Mouse,IκBα KO (Neuroinflammation),Autophagy_Proteostasis,Atg7,-0.005,0.6445,DOWN
GSE63012,Mouse,IκBα KO (Neuroinflammation),Autophagy_Proteostasis,Becn1,0.0,0.9944,UP
GSE63012,Mouse,IκBα KO (Neuroinflammation),Autophagy_Proteostasis,Sqstm1,-0.031,0.3378,DOWN
GSE63012,Mouse,IκBα KO (Neuroinflammation),PI3K_AKT_mTOR,Akt1,-0.029,0.3176,DOWN
GSE63012,Mouse,IκBα KO (Neuroinflammation),PI3K_AKT_mTOR,Mtor,0.017,0.349,UP
GSE63012,Mouse,IκBα KO (Neuroinflammation),PI3K_AKT_mTOR,Tsc1,-0.026,0.139,DOWN
GSE63012,Mouse,IκBα KO (Neuroinflammation),PI3K_AKT_mTOR,Pten,-0.001,0.8756,DOWN
GSE63012,Mouse,IκBα KO (Neuroinflammation),PI3K_AKT_mTOR,Pik3ca,0.007,0.48,UP
GSE63012,Mouse,IκBα KO (Neuroinflammation),PI3K_AKT_mTOR,Rictor,-0.008,0.7393,DOWN
GSE63012,Mouse,IκBα KO (Neuroinflammation),PI3K_AKT_mTOR,Rps6kb1,-0.001,0.9624,DOWN
GSE63012,Mouse,IκBα KO (Neuroinflammation),PI3K_AKT_mTOR,Rptor,0.01,0.3759,UP
GSE63012,Mouse,IκBα KO (Neuroinflammation),PI3K_AKT_mTOR,Tsc2,-0.052,0.2791,DOWN
GSE31458,Mouse,MPTP (Parkinson's model),Hippo_Signaling,Sav1,0.02,0.021,UP
GSE31458,Mouse,MPTP (Parkinson's model),Hippo_Signaling,Yap1,0.018,0.0249,UP
GSE31458,Mouse,MPTP (Parkinson's model),Hippo_Signaling,Wwtr1,-0.024,0.2257,DOWN
GSE31458,Mouse,MPTP (Parkinson's model),Hippo_Signaling,Stk3,-0.014,0.1411,DOWN
GSE31458,Mouse,MPTP (Parkinson's model),Hippo_Signaling,Lats2,0.005,0.6384,UP
GSE31458,Mouse,MPTP (Parkinson's model),Hippo_Signaling,Stk4,0.013,0.5453,UP
GSE31458,Mouse,MPTP (Parkinson's model),Hippo_Signaling,Nf2,0.049,0.0003,UP
GSE31458,Mouse,MPTP (Parkinson's model),Hippo_Signaling,Mob1a,0.027,0.0672,UP
GSE31458,Mouse,MPTP (Parkinson's model),Hippo_Signaling,Amot,0.014,0.1127,UP
GSE31458,Mouse,MPTP (Parkinson's model),Hippo_Signaling,Lats1,0.03,0.3985,UP
GSE31458,Mouse,MPTP (Parkinson's model),Hippo_Signaling,Mob1b,0.003,0.7192,UP
GSE31458,Mouse,MPTP (Parkinson's model),Memory_Synaptic,Prkcz,0.007,0.2182,UP
GSE31458,Mouse,MPTP (Parkinson's model),Memory_Synaptic,Arc,0.006,0.889,UP
GSE31458,Mouse,MPTP (Parkinson's model),Memory_Synaptic,Dlg4,-0.004,0.7272,DOWN
GSE31458,Mouse,MPTP (Parkinson's model),Memory_Synaptic,Creb1,0.007,0.6754,UP
GSE31458,Mouse,MPTP (Parkinson's model),Memory_Synaptic,Bdnf,-0.071,0.2055,DOWN
GSE31458,Mouse,MPTP (Parkinson's model),Memory_Synaptic,Grin2b,-0.008,0.3382,DOWN
GSE31458,Mouse,MPTP (Parkinson's model),Memory_Synaptic,Grin1,0.054,0.0007,UP
GSE31458,Mouse,MPTP (Parkinson's model),Memory_Synaptic,Syp,-0.025,0.0226,DOWN
GSE31458,Mouse,MPTP (Parkinson's model),Memory_Synaptic,Camk2a,0.087,0.2481,UP
GSE31458,Mouse,MPTP (Parkinson's model),Autophagy_Proteostasis,Atg5,-0.021,0.0372,DOWN
GSE31458,Mouse,MPTP (Parkinson's model),Autophagy_Proteostasis,Map1lc3b,0.012,0.0444,UP
GSE31458,Mouse,MPTP (Parkinson's model),Autophagy_Proteostasis,Hspa5,0.031,0.0206,UP
GSE31458,Mouse,MPTP (Parkinson's model),Autophagy_Proteostasis,Lamp2,-0.004,0.6678,DOWN
GSE31458,Mouse,MPTP (Parkinson's model),Autophagy_Proteostasis,Tfeb,-0.012,0.2822,DOWN
GSE31458,Mouse,MPTP (Parkinson's model),Autophagy_Proteostasis,Hsp90aa1,0.013,0.4327,UP
GSE31458,Mouse,MPTP (Parkinson's model),Autophagy_Proteostasis,Atg7,-0.012,0.2065,DOWN
GSE31458,Mouse,MPTP (Parkinson's model),Autophagy_Proteostasis,Becn1,-0.006,0.3978,DOWN
GSE31458,Mouse,MPTP (Parkinson's model),Autophagy_Proteostasis,Sqstm1,0.016,0.015,UP
GSE31458,Mouse,MPTP (Parkinson's model),PI3K_AKT_mTOR,Akt1,0.007,0.4874,UP
GSE31458,Mouse,MPTP (Parkinson's model),PI3K_AKT_mTOR,Mtor,-0.011,0.1217,DOWN
GSE31458,Mouse,MPTP (Parkinson's model),PI3K_AKT_mTOR,Tsc1,0.02,0.0034,UP
GSE31458,Mouse,MPTP (Parkinson's model),PI3K_AKT_mTOR,Pten,0.006,0.7627,UP
GSE31458,Mouse,MPTP (Parkinson's model),PI3K_AKT_mTOR,Pik3ca,-0.015,0.5662,DOWN
GSE31458,Mouse,MPTP (Parkinson's model),PI3K_AKT_mTOR,Rictor,0.05,0.0136,UP
GSE31458,Mouse,MPTP (Parkinson's model),PI3K_AKT_mTOR,Rps6kb1,0.029,0.0613,UP
GSE31458,Mouse,MPTP (Parkinson's model),PI3K_AKT_mTOR,Tsc2,0.045,0.0,UP
