"ID","Symbol","Name","Expression","Other databases"
"2178","FANCE","FA complementation group E","Under-expressed",""
"2189","FANCG","FA complementation group G","Under-expressed",""
"55215","FANCI","FA complementation group I","Under-expressed","L:Hs"
"57697","FANCM","FA complementation group M","Under-expressed",""
"92565","FANK1","fibronectin type III and ankyrin repeat domains 1","Over-expressed",""
"355","FAS","Fas cell surface death receptor","Over-expressed","GA:HsL:Hs"
"2195","FAT1","FAT atypical cadherin 1","Over-expressed",""
"10826","FAXDC2","fatty acid hydroxylase domain containing 2","Over-expressed",""
"2091","FBL","fibrillarin","Under-expressed",""
"84961","FBXL20","F-box and leucine rich repeat protein 20","Over-expressed",""
"114907","FBXO32","F-box protein 32","Over-expressed",""
"26271","FBXO5","F-box protein 5","Under-expressed","CA:Hs"
"26270","FBXO6","F-box protein 6","Over-expressed",""
"2237","FEN1","flap structure-specific endonuclease 1","Under-expressed","GA:ScGA:HsL:Hs"
"2247","FGF2","fibroblast growth factor 2","Over-expressed",""
"2271","FH","fumarate hydratase","Under-expressed","GA:ScGA:Hsµ"
"2273","FHL1","four and a half LIM domains 1","Over-expressed",""
"63979","FIGNL1","fidgetin like 1","Under-expressed",""
"11259","FILIP1L","filamin A interacting protein 1 like","Over-expressed",""
"51303","FKBP11","FKBP prolyl isomerase 11","Under-expressed",""
"2289","FKBP5","FKBP prolyl isomerase 5","Under-expressed","GA:HsµDR:Mm"
"2318","FLNC","filamin C","Over-expressed","GA:Dm"
"2335","FN1","fibronectin 1","Over-expressed","GA:MmGA:Hsµ"
"64778","FNDC3B","fibronectin type III domain containing 3B","Over-expressed",""
"64838","FNDC4","fibronectin type III domain containing 4","Over-expressed",""
"2352","FOLR3","folate receptor gamma","Over-expressed",""
"123811","FOPNL","centrosomal protein 20","Under-expressed",""
"2305","FOXM1","forkhead box M1","Under-expressed","GA:MmGA:ScGA:HsCA:Hs"
"122786","FRMD6","FERM domain containing 6","Over-expressed",""
"10129","FRY","FRY microtubule binding protein","Over-expressed",""
"10468","FST","follistatin","Under-expressed",""
"2495","FTH1","ferritin heavy chain 1","Over-expressed",""
"8880","FUBP1","far upstream element binding protein 1","Under-expressed",""
"2517","FUCA1","alpha-L-fucosidase 1","Over-expressed","GA:Hsµ"
"2521","FUS","FUS RNA binding protein","Under-expressed",""
"2526","FUT4","fucosyltransferase 4","Under-expressed",""
"8325","FZD8","frizzled class receptor 8","Over-expressed",""
"55632","G2E3","G2/M-phase specific E3 ubiquitin protein ligase","Under-expressed",""
"11337","GABARAP","GABA type A receptor-associated protein","Over-expressed","GA:DmGA:CeGA:ScDR:Sc"
"23710","GABARAPL1","GABA type A receptor associated protein like 1","Over-expressed","GA:ScDR:Sc"
"1647","GADD45A","growth arrest and DNA damage inducible alpha","Over-expressed","L:Hs"
"11227","GALNT5","polypeptide N-acetylgalactosaminyltransferase 5","Over-expressed",""
"54433","GAR1","GAR1 ribonucleoprotein","Under-expressed",""
"2618","GART","phosphoribosylglycinamide formyltransferase, phosphoribosylglycinamide synthetase, phosphoribosylaminoimidazole synthetase","Under-expressed","GA:Sc"
"283431","GAS2L3","growth arrest specific 2 like 3","Under-expressed",""
"2621","GAS6","growth arrest specific 6","Over-expressed","GA:Hsµ"
"2629","GBA","glucosylceramidase beta","Over-expressed",""
"51573","GDE1","glycerophosphodiester phosphodiesterase 1","Over-expressed",""
"9518","GDF15","growth differentiation factor 15","Over-expressed","GA:MmCA:Hs"
"2669","GEM","GTP binding protein overexpressed in skeletal muscle","Under-expressed","GA:ScGA:Sc"
"79833","GEMIN6","gem nuclear organelle associated protein 6","Under-expressed",""
"348654","GEN1","GEN1 Holliday junction 5' flap endonuclease","Under-expressed","GA:Sc"
"2673","GFPT1","glutamine--fructose-6-phosphate transaminase 1","Over-expressed",""
"9945","GFPT2","glutamine-fructose-6-phosphate transaminase 2","Under-expressed",""
"79017","GGCT","gamma-glutamylcyclotransferase","Under-expressed","CA:Hs"
"8836","GGH","gamma-glutamyl hydrolase","Under-expressed",""
"116254","GINM1","glycoprotein integral membrane 1","Over-expressed",""
"9837","GINS1","GINS complex subunit 1","Under-expressed",""
"51659","GINS2","GINS complex subunit 2","Under-expressed",""
"64785","GINS3","GINS complex subunit 3","Under-expressed",""
"84296","GINS4","GINS complex subunit 4","Under-expressed",""
"2720","GLB1","CLN8 transmembrane ER and ERGIC protein","Over-expressed",""
"112770","GLMP","glycosylated lysosomal membrane protein","Over-expressed",""
"2745","GLRX","glutaredoxin","Over-expressed","L:Hs"
"2744","GLS","glutaminase","Over-expressed",""
"2752","GLUL","glutamate-ammonia ligase","Under-expressed",""
"2760","GM2A","GM2 ganglioside activator","Over-expressed",""
"51053","GMNN","geminin DNA replication inhibitor","Under-expressed","CA:Hs"
"8833","GMPS","guanine monophosphate synthase","Under-expressed","CA:Hs"
"54331","GNG2","cyclic nucleotide gated channel subunit beta 1","Under-expressed",""
"26354","GNL3","G protein nucleolar 3","Under-expressed",""
"84572","GNPTG","N-acetylglucosamine-1-phosphate transferase subunit gamma","Over-expressed",""
"2804","GOLGB1","golgin B1","Over-expressed",""
"2817","GPC1","glypican 1","Over-expressed",""
"2852","GPER1","G protein-coupled estrogen receptor 1","Over-expressed",""
"10457","GPNMB","glycoprotein nmb","Over-expressed","GA:Hsµ"
"7107","GPR137B","G protein-coupled receptor 137B","Over-expressed","GA:Hsµ"
"151556","GPR155","G protein-coupled receptor 155","Over-expressed",""
"29899","GPSM2","G protein signaling modulator 2","Under-expressed",""
"2907","GRINA","glutamate ionotropic receptor NMDA type subunit associated protein 1","Over-expressed","GA:Hsµ"
"2896","GRN","granulin precursor","Over-expressed","GA:MmGA:HsGA:HsµCA:Hs"
"79792","GSDMD","gasdermin D","Under-expressed",""
"8225","GTPBP6","GTP binding protein 6 (putative)","Under-expressed",""
"51512","GTSE1","G2 and S-phase expressed 1","Under-expressed","CA:Hs"
"2983","GUCY1B1","guanylate cyclase 1 soluble subunit beta 1","Under-expressed",""
"2990","GUSB","glucuronidase beta","Under-expressed","GA:Hsµ"
"3005","H1F0","H1.0 linker histone","Under-expressed",""
"8971","H1FX","H1.10 linker histone","Under-expressed",""
"94239","H2AFV","H2A.Z variant histone 2","Under-expressed",""
"3014","H2AFX","H2A.X variant histone","Under-expressed","GA:HsL:Hs"
"3015","H2AFZ","H2A.Z variant histone 1","Under-expressed",""
"401494","HACD4","3-hydroxyacyl-CoA dehydratase 4","Under-expressed",""
"3029","HAGH","hydroxyacylglutathione hydrolase","Over-expressed",""
"3037","HAS2","hyaluronan synthase 2","Under-expressed",""
"83903","HASPIN","histone H3 associated protein kinase","Under-expressed",""
"8520","HAT1","histone acetyltransferase 1","Under-expressed","GA:Sc"
"115106","HAUS1","HAUS augmin like complex subunit 1","Under-expressed",""
"54930","HAUS4","HAUS augmin like complex subunit 4","Under-expressed","CA:Hs"
"54801","HAUS6","HAUS augmin like complex subunit 6","Under-expressed",""
"55559","HAUS7","HAUS augmin like complex subunit 7","Under-expressed",""
"93323","HAUS8","HAUS augmin like complex subunit 8","Under-expressed",""
"9734","HDAC9","histone deacetylase 9","Over-expressed","GA:Sc"
"57493","HEG1","heart development protein with EGF like domains 1","Over-expressed",""
"3070","HELLS","helicase, lymphoid specific","Under-expressed","GA:MmGA:HsCA:Hs"
"9843","HEPH","hephaestin","Under-expressed",""
"55008","HERC6","HECT and RLD domain containing E3 ubiquitin protein ligase family member 6","Over-expressed",""
"3074","HEXB","hexosaminidase subunit beta","Over-expressed","GA:Hsµ"
"55733","HHAT","hedgehog acyltransferase","Over-expressed","GA:CeDR:Sc"
"3024","HIST1H1A","H1.1 linker histone, cluster member","Under-expressed",""
"3009","HIST1H1B","H1.5 linker histone, cluster member","Under-expressed",""
"3006","HIST1H1C","H1.2 linker histone, cluster member","Over-expressed",""
"8334","HIST1H2AC","H2A clustered histone 6","Over-expressed",""
"8331","HIST1H2AJ","H2A clustered histone 14","Under-expressed",""
"8347","HIST1H2BC","H2B clustered histone 4","Over-expressed",""
"3017","HIST1H2BD","H2B clustered histone 5","Over-expressed",""
"8344","HIST1H2BE","H2B clustered histone 6","Over-expressed",""
"85236","HIST1H2BK","H2B clustered histone 12","Over-expressed",""
"8354","HIST1H3I","H3 clustered histone 11","Under-expressed",""
"8356","HIST1H3J","H3 clustered histone 12","Under-expressed",""
"8364","HIST1H4C","H4 clustered histone 3","Under-expressed","DR:Sc"
"8365","HIST1H4H","H4 clustered histone 8","Over-expressed","DR:Sc"
"8349","HIST2H2BE","H2B clustered histone 21","Over-expressed",""
"55355","HJURP","Holliday junction recognition protein","Under-expressed","CA:Hs"
"3106","HLA-B","major histocompatibility complex, class I, B","Over-expressed","L:Hs"
"3159","HMGA1","high mobility group AT-hook 1","Under-expressed","CA:Hs"
"8091","HMGA2","high mobility group AT-hook 2","Under-expressed","CA:Hs"
"3146","HMGB1","high mobility group box 1","Under-expressed","GA:HsL:HsCA:Hs"
"3148","HMGB2","high mobility group box 2","Under-expressed","GA:HsCA:Hs"
"3149","HMGB3","high mobility group box 3","Under-expressed","CA:Hs"
"3151","HMGN2","high mobility group nucleosomal binding domain 2","Under-expressed",""
"3161","HMMR","hyaluronan mediated motility receptor","Under-expressed",""
"3178","HNRNPA1","heterogeneous nuclear ribonucleoprotein A1","Under-expressed","GA:CeCA:Hs"
"3181","HNRNPA2B1","heterogeneous nuclear ribonucleoprotein A2/B1","Under-expressed","GA:Ce"
"220988","HNRNPA3","heterogeneous nuclear ribonucleoprotein A3","Under-expressed","GA:CeCA:Hs"
"3182","HNRNPAB","heterogeneous nuclear ribonucleoprotein A/B","Under-expressed","CA:Hs"
"3183","HNRNPC","heterogeneous nuclear ribonucleoprotein C","Under-expressed","CA:Hs"
"3184","HNRNPD","heterogeneous nuclear ribonucleoprotein D","Under-expressed","GA:MmCA:Hs"
"9987","HNRNPDL","heterogeneous nuclear ribonucleoprotein D like","Under-expressed",""
"3185","HNRNPF","heterogeneous nuclear ribonucleoprotein F","Under-expressed",""
"3187","HNRNPH1","heterogeneous nuclear ribonucleoprotein H1","Under-expressed",""
"3189","HNRNPH3","heterogeneous nuclear ribonucleoprotein H3","Under-expressed",""
"4670","HNRNPM","heterogeneous nuclear ribonucleoprotein M","Under-expressed","GA:ScGA:Hsµ"
"10236","HNRNPR","heterogeneous nuclear ribonucleoprotein R","Under-expressed",""
"3192","HNRNPU","heterogeneous nuclear ribonucleoprotein U","Under-expressed",""
"3202","HOXA5","homeobox A5","Under-expressed",""
"3251","HPRT1","hypoxanthine phosphoribosyltransferase 1","Under-expressed",""
"9955","HS3ST3A1","heparan sulfate-glucosamine 3-sulfotransferase 3A1","Under-expressed",""
"3306","HSPA2","heat shock protein family A (Hsp70) member 2","Under-expressed","CA:Hs"
"51668","HSPB11","heat shock protein family B (small) member 11","Under-expressed",""
"26353","HSPB8","heat shock protein family B (small) member 8","Over-expressed","GA:CeGA:HsµDR:Ce"
"5654","HTRA1","HtrA serine peptidase 1","Over-expressed","CA:Hs"
"94031","HTRA3","HtrA serine peptidase 3","Under-expressed",""
"219844","HYLS1","HYLS1 centriolar and ciliogenesis associated","Under-expressed",""
"3383","ICAM1","intercellular adhesion molecule 1","Over-expressed",""
"3400","ID4","inhibitor of DNA binding 4, HLH protein","Under-expressed","GA:Hsµ"
"3423","IDS","iduronate 2-sulfatase","Over-expressed",""
"9592","IER2","immediate early response 2","Under-expressed",""
"3429","IFI27","peripheral myelin protein 22","Over-expressed",""
"2537","IFI6","interferon alpha inducible protein 6","Over-expressed",""
"64135","IFIH1","interferon induced with helicase C domain 1","Over-expressed","DR:Mm"
"3434","IFIT1","interferon induced protein with tetratricopeptide repeats 1","Over-expressed",""
"3433","IFIT2","interferon induced protein with tetratricopeptide repeats 2","Over-expressed",""
"3437","IFIT3","interferon induced protein with tetratricopeptide repeats 3","Over-expressed",""
"10410","IFITM3","interferon induced transmembrane protein 3","Over-expressed",""
"3482","IGF2R","insulin like growth factor 2 receptor","Over-expressed","GA:HsµL:Hs"
"3486","IGFBP3","insulin like growth factor binding protein 3","Over-expressed","GA:HsL:HsCA:Hs"
"3488","IGFBP5","insulin like growth factor binding protein 5","Over-expressed","L:HsCA:Hs"
"3490","IGFBP7","insulin like growth factor binding protein 7","Over-expressed","CA:Hs"
"492311","IGIP","IgA inducing protein","Over-expressed",""
"3589","IL11","interleukin 11","Under-expressed",""
"3608","ILF2","interleukin enhancer binding factor 2","Under-expressed",""
"3609","ILF3","interleukin enhancer binding factor 3","Under-expressed","CA:Hs"
"3613","IMPA2","inositol monophosphatase 2","Under-expressed","GA:ScGA:Sc"
"3615","IMPDH2","inosine monophosphate dehydrogenase 2","Under-expressed",""
"9118","INA","internexin neuronal intermediate filament protein alpha","Over-expressed",""
"3635","INPP5D","inositol polyphosphate-5-phosphatase D","Over-expressed","GA:ScGA:ScGA:Hsµ"
"3638","INSIG1","insulin induced gene 1","Under-expressed","DR:Mm"
"9670","IPO13","importin 13","Over-expressed",""
"55721","IQCC","IQ motif containing C","Under-expressed",""
"11213","IRAK3","interleukin 1 receptor associated kinase 3","Under-expressed",""
"23479","ISCU","iron-sulfur cluster assembly enzyme","Over-expressed",""
"9636","ISG15","ISG15 ubiquitin like modifier","Over-expressed","GA:Sc"
"81533","ITFG1","integrin alpha FG-GAP repeat containing 1","Over-expressed",""
"3673","ITGA2","integrin subunit alpha 2","Over-expressed","L:Hs"
"3685","ITGAV","integrin subunit alpha V","Over-expressed",""
"3693","ITGB5","integrin subunit beta 5","Over-expressed","GA:Hsµ"
"9445","ITM2B","integral membrane protein 2B","Over-expressed","GA:Hsµ"
"162073","ITPRIPL2","ITPRIP like 2","Over-expressed",""
"133746","JMY","junction mediating and regulatory protein, p53 cofactor","Over-expressed",""
"90861","JPT2","Jupiter microtubule associated homolog 2","Under-expressed",""
"3759","KCNJ2","potassium inwardly rectifying channel subfamily J member 2","Over-expressed",""
"27345","KCNMB4","potassium calcium-activated channel subfamily M regulatory beta subunit 4","Over-expressed",""
"3781","KCNN2","potassium calcium-activated channel subfamily N member 2","Over-expressed",""
"57528","KCTD16","potassium channel tetramerization domain containing 16","Over-expressed",""
"386618","KCTD4","potassium channel tetramerization domain containing 4","Over-expressed",""
"23028","KDM1A","lysine demethylase 1A","Under-expressed","CA:Hs"
"10657","KHDRBS1","KH RNA binding domain containing, signal transduction associated 1","Under-expressed",""
"8570","KHSRP","KH-type splicing regulatory protein","Under-expressed",""
"23313","KIAA0930","KIAA0930","Over-expressed",""
"57179","KIAA1191","KIAA1191","Over-expressed",""
"3832","KIF11","kinesin family member 11","Under-expressed","GA:CeCA:Hs"
"9928","KIF14","kinesin family member 14","Under-expressed",""
"56992","KIF15","kinesin family member 15","Under-expressed",""
"81930","KIF18A","kinesin family member 18A","Under-expressed",""
"146909","KIF18B","kinesin family member 18B","Under-expressed",""
"10112","KIF20A","kinesin family member 20A","Under-expressed","CA:Hs"
"9585","KIF20B","kinesin family member 20B","Under-expressed",""
"3835","KIF22","kinesin family member 22","Under-expressed",""
"9493","KIF23","kinesin family member 23","Under-expressed",""
"11004","KIF2C","kinesin family member 2C","Under-expressed","CA:Hs"
"3797","KIF3C","kinesin family member 3C","Over-expressed",""
"24137","KIF4A","kinesin family member 4A","Under-expressed",""
"3833","KIFC1","kinesin family member C1","Under-expressed","GA:ScCA:Hs"
"4254","KITLG","KIT ligand","Under-expressed",""
"54800","KLHL24","kelch like family member 24","Over-expressed",""
"57082","KNL1","kinetochore scaffold 1","Under-expressed","DR:Mm"
"90417","KNSTRN","kinetochore localized astrin (SPAG5) binding protein","Under-expressed",""
"9735","KNTC1","kinetochore associated 1","Under-expressed",""
"3838","KPNA2","karyopherin subunit alpha 2","Under-expressed",""
"83895","KRTAP1-5","keratin associated protein 1-5","Over-expressed",""
"3897","L1CAM","C1D nuclear receptor corepressor","Over-expressed",""
"144811","LACC1","laccase domain containing 1","Over-expressed",""
"3913","LAMB2","laminin subunit beta 2","Over-expressed",""
"3915","LAMC1","laminin subunit gamma 1","Over-expressed",""
"3930","LBR","lamin B receptor","Under-expressed","GA:DmGA:ScCA:Hs"
"9079","LDB2","LIM domain binding 2","Under-expressed","GA:Ce"
"22998","LIMCH1","LIM and calponin homology domains 1","Over-expressed",""
"158038","LINGO2","leucine rich repeat and Ig domain containing 2","Over-expressed","L:Hs"
"3988","LIPA","lipase A, lysosomal acid type","Over-expressed",""
"92255","LMBRD2","LMBR1 domain containing 2","Over-expressed",""
"29995","LMCD1","LIM and cysteine rich domains 1","Over-expressed","GA:Ce"
"4001","LMNB1","lamin B1","Under-expressed","GA:CeGA:HsCA:Hs"
"84823","LMNB2","lamin B2","Under-expressed","GA:Ce"
"25802","LMOD1","leiomodin 1","Over-expressed",""
"91694","LONRF1","LON peptidase N-terminal domain and ring finger 1","Under-expressed",""
"4015","LOX","lysyl oxidase","Over-expressed","L:HsCA:Hs"
"4017","LOXL2","lysyl oxidase like 2","Over-expressed","CA:Hs"
"54947","LPCAT2","lysophosphatidylcholine acyltransferase 2","Over-expressed",""
"4035","LRP1","LDL receptor related protein 1","Over-expressed","GA:Hsµ"
"26020","LRP10","LDL receptor related protein 10","Over-expressed","GA:Hsµ"
"29967","LRP12","LDL receptor related protein 12","Over-expressed",""
"4043","LRPAP1","LDL receptor related protein associated protein 1","Over-expressed",""
"23639","LRRC6","leucine rich repeat containing 6","Over-expressed",""
"84230","LRRC8C","leucine rich repeat containing 8 VRAC subunit C","Under-expressed",""
"54674","LRRN3","leucine rich repeat neuronal 3","Over-expressed",""
"4045","LSAMP","limbic system associated membrane protein","Under-expressed",""
"57819","LSM2","LSM2 homolog, U6 small nuclear RNA and mRNA degradation associated","Under-expressed",""
"27258","LSM3","LSM3 homolog, U6 small nuclear RNA and mRNA degradation associated","Under-expressed",""
"23658","LSM5","LSM5 homolog, U6 small nuclear RNA and mRNA degradation associated","Under-expressed",""
"11157","LSM6","LSM6 homolog, U6 small nuclear RNA and mRNA degradation associated","Under-expressed",""
"4060","LUM","lumican","Over-expressed",""
"56925","LXN","latexin","Under-expressed",""
"54742","LY6K","lymphocyte antigen 6 family member K","Under-expressed",""
"55646","LYAR","Ly1 antibody reactive","Under-expressed",""
"4085","MAD2L1","mitotic arrest deficient 2 like 1","Under-expressed","GA:ScCA:Hs"
"10459","MAD2L2","mitotic arrest deficient 2 like 2","Under-expressed",""
"7851","MALL","mal, T cell differentiation protein like","Under-expressed",""
"256691","MAMDC2","MAM domain containing 2","Over-expressed",""
"11253","MAN1B1","mannosidase alpha class 1B member 1","Over-expressed","GA:Sc"
"23324","MAN2B2","mannosidase alpha class 2B member 2","Over-expressed","L:Hs"
"4126","MANBA","mannosidase beta","Over-expressed",""
"54682","MANSC1","MANSC domain containing 1","Over-expressed",""
"81631","MAP1LC3B","microtubule associated protein 1 light chain 3 beta","Over-expressed","GA:ScDR:Sc"
"56911","MAP3K7CL","MAP3K7 C-terminal like","Over-expressed",""
"22924","MAPRE3","microtubule associated protein RP/EB family member 3","Over-expressed",""
"51257","Mar-02","membrane associated ring-CH-type finger 2","Over-expressed",""
"57574","Mar-04","membrane associated ring-CH-type finger 4","Over-expressed",""
"65108","MARCKSL1","MARCKS like 1","Under-expressed",""
"5648","MASP1","mannan binding lectin serine peptidase 1","Over-expressed",""
"23031","MAST3","microtubule associated serine/threonine kinase 3","Over-expressed","GA:ScDR:Sc"
"84930","MASTL","microtubule associated serine/threonine kinase like","Under-expressed","GA:ScDR:Sc"
"4144","MAT2A","methionine adenosyltransferase 2A","Under-expressed","GA:Ce"
"4147","MATN2","matrilin 2","Under-expressed",""
"154141","MBOAT1","membrane bound O-acyltransferase domain containing 1","Under-expressed",""
"90411","MCFD2","multiple coagulation factor deficiency 2, ER cargo receptor complex subunit","Over-expressed",""
"55388","MCM10","minichromosome maintenance 10 replication initiation factor","Under-expressed",""
"4171","MCM2","minichromosome maintenance complex component 2","Under-expressed","GA:CeGA:Mm"
"4172","MCM3","minichromosome maintenance complex component 3","Under-expressed",""
"4173","MCM4","minichromosome maintenance complex component 4","Under-expressed",""
"4174","MCM5","minichromosome maintenance complex component 5","Under-expressed",""
"4175","MCM6","minichromosome maintenance complex component 6","Under-expressed",""
"4176","MCM7","minichromosome maintenance complex component 7","Under-expressed","CA:Hs"
"84515","MCM8","minichromosome maintenance 8 homologous recombination repair factor","Under-expressed",""
"79892","MCMBP","minichromosome maintenance complex binding protein","Under-expressed",""
"57192","MCOLN1","mucolipin 1","Over-expressed","DR:Ce"
"55013","MCUB","mitochondrial calcium uniporter dominant negative subunit beta","Under-expressed",""
"4192","MDK","midkine","Under-expressed","CA:Hs"
"4193","MDM2","MDM2 proto-oncogene","Over-expressed","GA:HsL:HsCA:Hs"
"90390","MED30","mediator complex subunit 30","Under-expressed",""
"9833","MELK","maternal embryonic leucine zipper kinase","Under-expressed",""
"4232","MEST","mesoderm specific transcript","Over-expressed",""
"84206","MEX3B","mex-3 RNA binding family member B","Under-expressed","GA:Hsµ"
"4240","MFGE8","milk fat globule EGF and factor V/VIII domain containing","Over-expressed",""
"64747","MFSD1","major facilitator superfamily domain containing 1","Over-expressed",""
"79157","MFSD11","major facilitator superfamily domain containing 11","Over-expressed",""
"84709","MGARP","mitochondria localized glutamic acid rich protein","Over-expressed",""
"4255","MGMT","O-6-methylguanine-DNA methyltransferase","Under-expressed",""
"54468","MIOS","meiosis regulator for oocyte development","Under-expressed",""
"79003","MIS12","MIS12 kinetochore complex component","Under-expressed",""
"54069","MIS18A","MIS18 kinetochore protein A","Under-expressed",""
"55320","MIS18BP1","MIS18 binding protein 1","Under-expressed",""
"4288","MKI67","marker of proliferation Ki-67","Under-expressed",""
"10962","MLLT11","MLLT11 transcription factor 7 cofactor","Over-expressed",""
"79083","MLPH","melanophilin","Under-expressed",""
"4321","MMP12","matrix metallopeptidase 12","Over-expressed",""
"4314","MMP3","matrix metallopeptidase 3","Over-expressed","L:Hs"
"84057","MND1","meiotic nuclear divisions 1","Under-expressed",""
"55329","MNS1","meiosis specific nuclear structural 1","Under-expressed",""
"25874","MPC2","mitochondrial pyruvate carrier 2","Over-expressed","GA:Hsµ"
"22808","MRAS","muscle RAS oncogene homolog","Over-expressed","GA:ScGA:Sc"
"4361","MRE11","MRE11 homolog, double strand break repair nuclease","Under-expressed","GA:ScL:Hs"
"65008","MRPL1","mitochondrial ribosomal protein L1","Under-expressed","GA:Ce"
"65003","MRPL11","mitochondrial ribosomal protein L11","Under-expressed",""
"6150","MRPL23","mitochondrial ribosomal protein L23","Under-expressed",""
"11222","MRPL3","mitochondrial ribosomal protein L3","Under-expressed","GA:Sc"
"51642","MRPL48","mitochondrial ribosomal protein L48","Under-expressed",""
"64960","MRPS15","mitochondrial ribosomal protein S15","Under-expressed",""
"64965","MRPS9","mitochondrial ribosomal protein S9","Under-expressed","GA:Ce"
"51154","MRTO4","MRT4 homolog, ribosome maturation factor","Under-expressed","GA:Sc"
"10335","MRVI1","murine retrovirus integration site 1 homolog [Source:HGNC Symbol;Acc:HGNC:7237]","Over-expressed",""
"4436","MSH2","mutS homolog 2","Under-expressed","GA:MmGA:ScL:Hs"
"2956","MSH6","mutS homolog 6","Under-expressed","GA:ScL:Hs"
"55167","MSL2","MSL complex subunit 2","Under-expressed",""
"4493","MT1E","metallothionein 1E","Under-expressed","GA:MmGA:HsGA:HsµDR:Mm"
"51001","MTERF3","mitochondrial transcription termination factor 3","Under-expressed",""
"113115","MTFR2","mitochondrial fission regulator 2","Under-expressed",""
"4522","MTHFD1","methylenetetrahydrofolate dehydrogenase, cyclohydrolase and formyltetrahydrofolate synthetase 1","Under-expressed","GA:Sc"
"10797","MTHFD2","methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 2, methenyltetrahydrofolate cyclohydrolase","Under-expressed","GA:ScGA:DmCA:Hs"
"4528","MTIF2","mitochondrial translational initiation factor 2","Under-expressed",""
"4599","MX1","MX dynamin like GTPase 1","Over-expressed","GA:Sc"
"10608","MXD4","MAX dimerization protein 4","Over-expressed","GA:CeCA:Hs"
"4601","MXI1","MAX interactor 1, dimerization protein","Over-expressed","GA:CeGA:Hs"
"439921","MXRA7","matrix remodeling associated 7","Over-expressed",""
"4605","MYBL2","MYB proto-oncogene like 2","Under-expressed","GA:ScCA:Hs"
"4638","MYLK","myosin light chain kinase","Over-expressed","CA:Hs"
"80179","MYO19","myosin XIX","Under-expressed",""
"51778","MYOZ2","myozenin 2","Over-expressed",""
"440145","MZT1","mitotic spindle organizing protein 1","Under-expressed",""
"10004","NAALADL1","N-acetylated alpha-linked acidic dipeptidase like 1","Under-expressed","GA:Sc"
"64859","NABP1","nucleic acid binding protein 1","Over-expressed",""
"4675","NAP1L3","nucleosome assembly protein 1 like 3","Over-expressed",""
"266812","NAP1L5","nucleosome assembly protein 1 like 5","Over-expressed",""
"79731","NARS2","asparaginyl-tRNA synthetase 2, mitochondrial","Under-expressed",""
"4678","NASP","nuclear autoantigenic sperm protein","Under-expressed",""
"65065","NBEAL1","neurobeachin like 1","Over-expressed","GA:Sc"
"9918","NCAPD2","non-SMC condensin I complex subunit D2","Under-expressed","L:Hs"
"23310","NCAPD3","non-SMC condensin II complex subunit D3","Under-expressed",""
"64151","NCAPG","non-SMC condensin I complex subunit G","Under-expressed",""
"54892","NCAPG2","non-SMC condensin II complex subunit G2","Under-expressed","CA:Hs"
"23397","NCAPH","non-SMC condensin I complex subunit H","Under-expressed",""
"57552","NCEH1","neutral cholesterol ester hydrolase 1","Under-expressed",""
"344148","NCKAP5","NCK associated protein 5","Over-expressed",""
"23385","NCSTN","nicastrin","Over-expressed",""
"55706","NDC1","NDC1 transmembrane nucleoporin","Under-expressed",""
"10403","NDC80","NDC80 kinetochore complex component","Under-expressed",""
"10397","NDRG1","N-myc downstream regulated 1","Over-expressed","GA:HsµCA:Hs"
"55247","NEIL3","nei like DNA glycosylase 3","Under-expressed",""
"4751","NEK2","NIMA related kinase 2","Under-expressed","GA:HsµCA:Hs"
"23306","NEMP1","nuclear envelope integral membrane protein 1","Under-expressed",""
"81831","NETO2","neuropilin and tolloid like 2","Under-expressed",""
"54492","NEURL1B","neuralized E3 ubiquitin protein ligase 1B","Under-expressed",""
"91624","NEXN","nexilin F-actin binding protein","Over-expressed",""
"51388","NIP7","nucleolar pre-rRNA processing protein NIP7","Under-expressed",""
"57185","NIPAL3","NIPA like domain containing 3","Over-expressed",""
"9111","NMI","N-myc and STAT interactor","Under-expressed",""
"25926","NOL11","nucleolar protein 11","Under-expressed",""
"10528","NOP56","NOP56 ribonucleoprotein","Under-expressed",""
"51602","NOP58","NOP58 ribonucleoprotein","Under-expressed","GA:Ce"
"10577","NPC2","NPC intracellular cholesterol transporter 2","Over-expressed",""
"56654","NPDC1","neural proliferation, differentiation and control 1","Over-expressed",""
"4869","NPM1","nucleophosmin 1","Under-expressed","CA:Hs"
"4893","NRAS","NRAS proto-oncogene, GTPase","Under-expressed","GA:CeGA:ScGA:ScCA:Hs"
"340371","NRBP2","nuclear receptor binding protein 2","Over-expressed",""
"11270","NRM","nurim","Under-expressed",""
"54780","NSMCE4A","NSE4 homolog A, SMC5-SMC6 complex component","Under-expressed",""
"30833","NT5C","5', 3'-nucleotidase, cytosolic","Under-expressed",""
"64943","NT5DC2","5'-nucleotidase domain containing 2","Under-expressed",""
"59277","NTN4","netrin 4","Over-expressed","GA:HsµCA:Hs"
"9891","NUAK1","NUAK family kinase 1","Over-expressed","GA:ScCA:Hs"
"64710","NUCKS1","nuclear casein kinase and cyclin dependent kinase substrate 1","Under-expressed",""
"84955","NUDCD1","NudC domain containing 1","Under-expressed",""
"4521","NUDT1","nudix hydrolase 1","Under-expressed","GA:MmGA:Hs"
"55270","NUDT15","nudix hydrolase 15","Under-expressed",""
